date,source,site_id,poc,pm2_5,units,daily_aqi_value,local_site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_description,method_code,method_description,cbsa_code,cbsa_name,state_fips_code,state,county_fips_code,county,site_latitude,site_longitude
2017-12-23,AQS,060830011,3,5.9,ug/m3 LC,33,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-24,AQS,060830011,3,9.2,ug/m3 LC,51,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-25,AQS,060830011,3,12.8,ug/m3 LC,58,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-26,AQS,060830011,3,14.7,ug/m3 LC,61,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-27,AQS,060830011,3,15,ug/m3 LC,62,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-28,AQS,060830011,3,10.7,ug/m3 LC,54,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-29,AQS,060830011,3,8.8,ug/m3 LC,49,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-30,AQS,060830011,3,10.8,ug/m3 LC,54,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-31,AQS,060830011,3,15.2,ug/m3 LC,62,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-04,AQS,060831008,3,3.1,ug/m3 LC,17,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
